title,genres,original_language,release_date,popularity,budget,revenue,runtime,vote_average,vote_count,status,release_year
Porky's,Comedy,en,1981-11-13,12.891276,4000000,125728258,94.0,6.1,183,Released,1981.0
The Evil Dead,Horror,en,1981-10-15,35.037625,350000,29400000,85.0,7.3,894,Released,1981.0
The Howling,Drama|Horror,en,1981-04-03,6.532855,1000000,17985893,91.0,6.4,161,Released,1981.0
The Legend of the Lone Ranger,Action|Adventure|Romance|Western,en,1981-08-20,11.725805,18000000,2945600,98.0,3.7,14,Released,1981.0
The Postman Always Rings Twice,Romance|Crime|Drama,en,1981-03-20,6.803763,12000000,0,122.0,6.4,110,Released,1981.0
Time Bandits,Family|Fantasy|Science Fiction|Adventure|Comedy,en,1981-07-13,14.779537,5000000,42365581,116.0,6.6,249,Released,1981.0
E.T. the Extra-Terrestrial,Science Fiction|Adventure|Family|Fantasy,en,1982-04-03,56.105798,10500000,792910554,115.0,7.3,3269,Released,1982.0
Halloween III: Season of the Witch,Horror|Mystery|Science Fiction,en,1982-10-22,12.030456,2500000,14400000,98.0,5.0,229,Released,1982.0
The Beastmaster,Action|Fantasy,en,1982-08-20,6.377523,0,14056528,118.0,6.0,97,Released,1982.0
The Man from Snowy River,Family|Drama|Action|Western|Romance,en,1982-03-02,3.656491,3500000,20659423,104.0,6.8,37,Released,1982.0
Krull,Fantasy|Action|Adventure,en,1983-07-29,9.904881,27000000,16519460,117.0,5.8,129,Released,1983.0
Losin' It,Comedy,en,1983-04-08,2.550045,7000000,1246141,100.0,4.5,31,Released,1983.0
Return of the Jedi,Adventure|Action|Science Fiction,en,1983-05-23,46.509071,32350000,572700000,135.0,7.9,4665,Released,1983.0
Superman III,Comedy|Action|Adventure|Fantasy|Science Fiction,en,1983-06-17,22.164202,39000000,75850624,125.0,5.3,490,Released,1983.0
Twilight Zone: The Movie,Drama|Fantasy|Horror|Science Fiction|Thriller,en,1983-06-24,12.902975,10000000,29450919,101.0,6.2,161,Released,1983.0
A Passage to India,Drama|Adventure|History,en,1984-12-14,9.548391,8000000,27187653,163.0,6.9,67,Released,1984.0
Body Double,Crime|Mystery|Horror|Thriller,en,1984-10-25,9.525626,10000000,8801940,114.0,6.4,137,Released,1984.0
Conan the Destroyer,Adventure|Fantasy|Action,en,1984-06-29,18.379124,18000000,100000000,103.0,5.8,383,Released,1984.0
Gremlins,Fantasy|Horror|Comedy,en,1984-06-07,45.072136,11000000,153083102,106.0,6.9,1596,Released,1984.0
Red Dawn,Action|Thriller,en,1984-08-10,11.743085,4200000,38376497,114.0,6.4,215,Released,1984.0
The Hotel New Hampshire,Comedy|Drama,en,1984-03-09,2.226412,7500000,0,109.0,5.8,26,Released,1984.0
The Terminator,Action|Thriller|Science Fiction,en,1984-10-26,74.234793,6400000,78371200,108.0,7.3,4128,Released,1984.0
The Toxic Avenger,Science Fiction|Action|Comedy|Horror,en,1984-05-01,6.672008,0,0,82.0,6.3,113,Released,1984.0
Invasion U.S.A.,Action|Thriller,en,1985-09-27,4.192064,0,0,107.0,5.3,49,Released,1985.0
Krush Groove,Drama|Music|Romance,en,1985-10-25,0.720091,3000000,0,97.0,7.0,11,Released,1985.0
Lifeforce,Fantasy|Horror|Science Fiction|Thriller,en,1985-06-20,12.18362,25000000,0,116.0,6.2,135,Released,1985.0
Mad Max Beyond Thunderdome,Action|Adventure|Science Fiction,en,1985-06-29,36.582038,12305523,36230219,107.0,5.9,748,Released,1985.0
Pale Rider,Romance|Western,en,1985-06-28,14.574995,0,41410568,115.0,7.0,251,Released,1985.0
Red Sonja,Adventure|Fantasy|Action,en,1985-04-09,12.752463,17900000,6948633,89.0,5.0,206,Released,1985.0
Silverado,Action|Crime|Drama|Western,en,1985-07-10,10.981038,26000000,0,127.0,7.1,146,Released,1985.0
The Color Purple,Drama,en,1985-12-18,17.571533,15000000,146292009,154.0,7.7,338,Released,1985.0
Crocodile Dundee,Adventure|Comedy,en,1986-09-26,16.072466,5000000,328203506,97.0,6.3,503,Released,1986.0
Highlander,Adventure|Action|Fantasy,en,1986-03-07,29.253833,16000000,5900000,116.0,6.8,624,Released,1986.0
Salvador,Drama,en,1986-04-23,3.819796,4500000,0,123.0,7.0,71,Released,1986.0
Star Trek IV: The Voyage Home,Science Fiction|Adventure,en,1986-11-25,22.258428,24000000,133000000,119.0,6.9,477,Released,1986.0
The Wraith,Romance|Science Fiction|Horror|Action|Crime,en,1986-11-21,10.47644,2700000,3500000,93.0,5.9,108,Released,1986.0
Top Gun,Action|Romance|War,en,1986-05-16,58.900647,15000000,356830601,110.0,6.7,1698,Released,1986.0
A Nightmare on Elm Street 3: Dream Warriors,Horror|Thriller,en,1987-02-27,17.304055,5000000,44793222,96.0,6.5,354,Released,1987.0
Hollywood Shuffle,Comedy,en,1987-03-20,2.353483,0,0,78.0,5.7,19,Released,1987.0
Ishtar,Action|Adventure|Comedy,en,1987-05-15,2.410546,55000000,14375181,107.0,4.2,28,Released,1987.0
Teen Wolf Too,Comedy|Fantasy|Family,en,1987-11-20,4.103764,0,0,95.0,3.8,46,Released,1987.0
Big,Fantasy|Drama|Comedy|Romance|Family,en,1988-06-03,20.716023,18000000,151668774,104.0,6.9,993,Released,1988.0
Bloodsport,Action,en,1988-02-26,17.49699,1500000,11806119,92.0,6.6,363,Released,1988.0
"Bright Lights, Big City",Drama,en,1988-04-01,2.753501,0,0,107.0,4.7,28,Released,1988.0
Iguana,,en,1988-04-01,0.214704,0,0,88.0,6.0,1,Released,1988.0
Poltergeist III,Horror|Thriller,en,1988-06-10,11.225044,10500000,14144000,98.0,4.5,123,Released,1988.0
Rambo III,Action|Adventure|Thriller|War,en,1988-05-24,31.294717,63000000,189015611,102.0,5.7,690,Released,1988.0
Black Rain,Action|Thriller|Crime,en,1989-09-22,11.19602,30000000,45892212,125.0,6.2,243,Released,1989.0
Born on the Fourth of July,Drama|War,en,1989-12-20,25.949277,14000000,161001698,145.0,6.7,395,Released,1989.0
New York Stories,Comedy|Drama|Romance,en,1989-03-10,6.684096,15000000,0,124.0,6.2,64,Released,1989.0
Roger & Me,Documentary|History,en,1989-09-01,3.284903,160000,6706368,91.0,7.4,90,Released,1989.0
Tango & Cash,Action|Adventure|Comedy,en,1989-12-22,22.787667,55000000,63408614,104.0,6.1,458,Released,1989.0
The Toxic Avenger Part II,Comedy|Horror|Action,en,1989-02-24,1.791331,0,0,96.0,5.3,39,Released,1989.0
Troop Beverly Hills,Adventure|Comedy|Family,en,1989-03-22,3.455018,0,0,105.0,5.6,56,Released,1989.0
UHF,Comedy,en,1989-07-21,4.070044,5000000,0,97.0,6.7,89,Released,1989.0
Arachnophobia,Comedy|Horror,en,1990-08-09,15.895661,31000000,53208180,103.0,6.2,433,Released,1990.0
Dances with Wolves,Adventure|Drama|Western,en,1990-11-09,45.707835,22000000,424208848,181.0,7.6,1046,Released,1990.0
Ghost,Fantasy|Drama|Thriller|Mystery|Romance,en,1990-07-12,41.967005,22000000,505000000,127.0,6.9,1339,Released,1990.0
Pretty Woman,Romance|Comedy,en,1990-03-23,45.473484,14000000,463000000,119.0,7.0,1746,Released,1990.0
Double Impact,Thriller|Action|Crime|Drama,en,1991-08-10,10.484642,15000000,30102717,110.0,5.3,215,Released,1991.0
Freddy's Dead: The Final Nightmare,Horror|Thriller|Comedy,en,1991-09-05,16.856231,11000000,34872033,89.0,5.1,272,Released,1991.0
My Own Private Idaho,Drama|Romance,en,1991-10-17,10.363642,2500000,0,104.0,7.1,212,Released,1991.0
Terminator 2: Judgment Day,Action|Thriller|Science Fiction,en,1991-07-01,101.74155,100000000,520000000,137.0,7.7,4185,Released,1991.0
The Doors,Drama|Music,en,1991-03-01,10.794175,38000000,34416893,140.0,6.7,275,Released,1991.0
A League of Their Own,Comedy,en,1992-07-01,21.661028,40000000,107458785,128.0,6.7,354,Released,1992.0
Alien³,Science Fiction|Action|Horror,en,1992-05-22,45.856409,50000000,159773545,114.0,6.2,1633,Released,1992.0
Hoffa,Crime|History,en,1992-12-25,5.926966,35000000,0,140.0,6.1,81,Released,1992.0
Lethal Weapon 3,Adventure|Action|Comedy|Thriller|Crime,en,1992-05-15,36.172182,35000000,321731527,118.0,6.4,811,Released,1992.0
My Cousin Vinny,Comedy|Drama,en,1992-03-13,19.231507,11000000,64088552,120.0,7.3,384,Released,1992.0
The Bodyguard,Thriller|Action|Drama|Music|Romance,en,1992-11-25,26.576385,25000000,411006740,129.0,6.1,661,Released,1992.0
The Crying Game,Romance|Crime|Drama|Thriller,en,1992-09-02,8.839651,3705538,62548947,112.0,6.9,176,Released,1992.0
The Last of the Mohicans,Action|Adventure|Drama|History|Romance|War,en,1992-09-25,37.776566,40000000,75505856,112.0,7.1,732,Released,1992.0
Unforgiven,Western,en,1992-08-07,37.380435,14000000,159157447,131.0,7.7,1113,Released,1992.0
Alive,Action|Adventure|Drama|Thriller,en,1993-01-15,14.48851,32000000,36733909,120.0,6.7,374,Released,1993.0
Cool Runnings,Comedy,en,1993-09-30,22.409117,14000000,154864401,98.0,6.8,491,Released,1993.0
Dazed and Confused,Comedy|Drama,en,1993-09-24,26.181753,6900000,7993039,102.0,7.4,583,Released,1993.0
Killing Zoe,Action|Crime|Drama|Thriller,en,1993-10-01,5.817519,1500000,418961,96.0,6.1,111,Released,1993.0
Madadayo,Drama,ja,1993-04-17,2.930853,0,0,134.0,7.5,20,Released,1993.0
Philadelphia,Drama,en,1993-12-22,44.301745,26000000,206678440,125.0,7.6,988,Released,1993.0
Return of the Living Dead 3,Comedy|Science Fiction|Romance|Horror,en,1993-10-01,7.502934,2000000,54207,97.0,5.9,88,Released,1993.0
Teenage Mutant Ninja Turtles III,Action|Adventure|Comedy|Family|Fantasy|Science Fiction,en,1993-03-17,10.207065,21000000,42000000,96.0,5.1,184,Released,1993.0
The Firm,Drama|Mystery|Thriller,en,1993-06-30,23.736535,42000000,270248367,154.0,6.6,501,Released,1993.0
The Fugitive,Adventure|Action|Thriller|Crime|Mystery,en,1993-08-06,54.884297,44000000,368875760,130.0,7.2,1220,Released,1993.0
Clear and Present Danger,Action|Drama|Thriller,en,1994-08-03,18.832471,62000000,215887717,141.0,6.4,386,Released,1994.0
Crooklyn,Comedy|Drama,en,1994-05-13,1.89218,0,0,115.0,6.7,31,Released,1994.0
Dumb and Dumber,Comedy,en,1994-12-16,35.777067,16000000,247275374,107.0,6.5,1859,Released,1994.0
Highlander: The Final Dimension,Action|Fantasy|Science Fiction,en,1994-11-29,7.964451,26000000,36800000,99.0,4.5,110,Released,1994.0
Little Women,Drama|Romance,en,1994-12-21,16.418639,18000000,0,115.0,7.0,215,Released,1994.0
Rapa Nui,Adventure,en,1994-09-09,3.581906,20000000,305070,107.0,6.2,33,Released,1994.0
Sugar Hill,Drama|Action|Thriller,en,1994-02-25,2.580808,0,0,123.0,5.2,13,Released,1994.0
The Legend of Drunken Master,Action|Comedy,cn,1994-02-03,15.046612,0,0,102.0,7.2,242,Released,1994.0
The Lion King,Family|Animation|Drama,en,1994-06-23,90.457886,45000000,788241776,89.0,8.0,5376,Released,1994.0
The Naked Gun 33⅓: The Final Insult,Comedy|Crime,en,1994-03-18,28.624038,30000000,51132598,83.0,6.3,521,Released,1994.0
Wolf,Fantasy,en,1994-06-17,13.758526,0,0,125.0,6.0,216,Released,1994.0
Wyatt Earp,Drama|Action|Western,en,1994-06-24,13.859307,63000000,25052000,191.0,6.5,202,Released,1994.0
Assassins,Action|Adventure|Crime|Thriller,en,1995-10-06,23.073933,50000000,30303072,132.0,6.0,387,Released,1995.0
First Knight,Action|Adventure|Drama|Romance,en,1995-07-07,19.143321,55000000,127600435,134.0,5.9,311,Released,1995.0
Halloween: The Curse of Michael Myers,Horror|Thriller,en,1995-09-29,9.483717,5000000,15116634,88.0,5.0,170,Released,1995.0
Home for the Holidays,Comedy|Drama|Romance,en,1995-11-02,4.031585,0,17519169,103.0,6.3,39,Released,1995.0
Mortal Kombat,Action|Fantasy,en,1995-08-18,16.470895,18000000,122195920,101.0,5.4,442,Released,1995.0
Nixon,History|Drama,en,1995-12-22,3.770161,44000000,13681765,192.0,7.1,71,Released,1995.0
Pocahontas,Adventure|Animation|Drama|Family,en,1995-06-14,47.845589,55000000,346079773,81.0,6.7,1457,Released,1995.0
Rumble in the Bronx,Crime|Action|Comedy|Thriller,cn,1995-01-30,17.318839,7500000,32392047,91.0,6.5,240,Released,1995.0
The Indian in the Cupboard,Adventure|Family|Fantasy,en,1995-07-14,11.095914,45000000,0,96.0,5.9,134,Released,1995.0
Welcome to the Dollhouse,Comedy|Drama,en,1995-05-24,5.870319,0,0,88.0,6.9,103,Released,1995.0
Bottle Rocket,Comedy|Crime|Drama,en,1996-02-21,11.700578,7000000,560069,91.0,6.8,281,Released,1996.0
Daylight,Action|Adventure|Thriller,en,1996-12-06,16.681269,80000000,159212469,115.0,5.8,378,Released,1996.0
DragonHeart,Fantasy,en,1996-05-31,31.791979,57000000,115267375,103.0,6.4,535,Released,1996.0
Faithful,Comedy|Crime|Drama,en,1996-04-03,1.647335,13000000,9789900,91.0,4.8,4,Released,1996.0
Fled,Action|Comedy|Thriller,en,1996-07-19,2.77255,25000000,17193231,98.0,5.2,47,Released,1996.0
Freeway,Comedy|Drama|Thriller,en,1996-08-23,4.682881,3000000,0,110.0,6.5,95,Released,1996.0
Get on the Bus,Drama,en,1996-10-16,4.623059,2400000,5731103,120.0,7.0,11,Released,1996.0
Happy Gilmore,Comedy,en,1996-02-16,26.598884,12000000,41205099,92.0,6.5,755,Released,1996.0
Kansas City,Thriller|Drama|Music|Crime,en,1996-08-16,5.380733,18000000,0,116.0,6.1,12,Released,1996.0
Lone Star,Drama|Mystery|Romance,en,1996-06-21,5.960149,5000000,13269963,135.0,6.9,77,Released,1996.0
Mary Reilly,Drama|Horror|Thriller|Romance,en,1996-02-23,6.067212,47000000,12379402,104.0,5.7,74,Released,1996.0
Maximum Risk,Action|Adventure|Thriller,en,1996-09-13,10.115011,25000000,51702483,100.0,5.2,101,Released,1996.0
Multiplicity,Comedy|Fantasy|Science Fiction,en,1996-07-19,11.120344,45000000,0,117.0,5.5,154,Released,1996.0
Set It Off,Drama|Action|Crime,en,1996-11-06,6.717994,9000000,41590886,118.0,6.9,66,Released,1996.0
Sling Blade,Drama,en,1996-08-30,14.805264,1000000,24475416,135.0,7.4,231,Released,1996.0
Swingers,Comedy|Romance,en,1996-10-18,13.971674,200000,4505922,94.0,6.8,253,Released,1996.0
That Thing You Do!,Comedy|Drama,en,1996-10-04,14.885388,0,34585416,108.0,6.8,225,Released,1996.0
The Adventures of Pinocchio,Animation|Family|Fantasy,en,1996-07-26,6.718497,0,0,90.0,5.0,54,Released,1996.0
The First Wives Club,Comedy,en,1996-09-20,10.704596,26000000,116400000,102.0,6.5,166,Released,1996.0
The Funeral,Crime|Drama,en,1996-01-26,2.950618,12500000,1227324,99.0,7.3,31,Released,1996.0
The Pallbearer,Comedy|Romance,en,1996-05-03,2.149469,8000000,0,97.0,4.6,30,Released,1996.0
Walking and Talking,Comedy|Drama|Romance,en,1996-07-17,0.367312,0,0,86.0,6.6,7,Released,1996.0
A Simple Wish,Adventure|Comedy|Family|Fantasy,en,1997-07-11,1.767479,28000000,8345056,86.0,5.5,46,Released,1997.0
Absolute Power,Crime|Drama|Thriller,en,1997-02-14,13.576765,50000000,50068310,121.0,6.4,223,Released,1997.0
Air Force One,Action|Thriller,en,1997-07-25,36.38795,85000000,315156409,124.0,6.2,840,Released,1997.0
Amistad,Drama|History|Mystery,en,1997-12-03,3.698276,36000000,74000000,155.0,6.8,316,Released,1997.0
Cats Don't Dance,Animation|Comedy|Family|Music,en,1997-03-26,4.098444,32000000,3566637,75.0,7.1,24,Released,1997.0
Critical Care,Comedy|Drama,en,1997-10-31,2.678715,0,0,107.0,6.1,9,Released,1997.0
Dante's Peak,Action|Adventure|Thriller,en,1997-02-07,16.90444,116000000,178127760,108.0,5.7,428,Released,1997.0
Donnie Brasco,Crime|Drama|Thriller,en,1997-02-27,40.370442,35000000,41954997,127.0,7.4,1147,Released,1997.0
Flubber,Comedy|Family|Science Fiction,en,1997-11-26,11.50396,80000000,177977226,93.0,5.3,695,Released,1997.0
Gattaca,Thriller|Science Fiction|Mystery|Romance,en,1997-09-07,70.398356,36000000,12532777,106.0,7.5,1808,Released,1997.0
In & Out,Comedy|Romance,en,1997-09-10,11.897925,35000000,0,90.0,6.3,177,Released,1997.0
In the Company of Men,Comedy|Drama,en,1997-01-19,2.634007,0,0,97.0,6.8,44,Released,1997.0
Jackie Brown,Comedy|Crime|Romance,en,1997-12-24,40.631671,12000000,39673162,154.0,7.3,1514,Released,1997.0
Kundun,Drama,en,1997-12-25,7.039189,28000000,5684789,134.0,6.8,91,Released,1997.0
Love Jones,Comedy|Drama|Romance,en,1997-03-14,1.000178,10000000,0,104.0,8.1,12,Released,1997.0
Love and Death on Long Island,Drama|Romance|Foreign,en,1997-01-01,0.933891,0,0,93.0,6.9,11,Released,1997.0
Mr. Nice Guy,Crime|Action|Comedy,cn,1997-01-31,7.077505,12716953,18814720,113.0,6.3,128,Released,1997.0
Nothing to Lose,Action|Adventure|Comedy,en,1997-07-18,8.618208,25000000,0,97.0,6.3,174,Released,1997.0
Smilla's Sense of Snow,Action|Crime|Drama|Mystery|Thriller,en,1997-02-13,5.419181,35000000,0,121.0,6.6,60,Released,1997.0
The Fifth Element,Adventure|Fantasy|Action|Thriller|Science Fiction,en,1997-05-07,109.528572,90000000,263920180,126.0,7.3,3885,Released,1997.0
The Full Monty,Comedy,en,1997-08-13,17.002623,3500000,257850122,91.0,6.8,363,Released,1997.0
The Jackal,Action|Thriller|Adventure|Crime,en,1997-11-14,19.747459,60000000,159330280,124.0,6.1,527,Released,1997.0
The Man Who Knew Too Little,Comedy|Thriller|Crime|Action,en,1997-11-14,6.397042,20000000,13801755,97.0,6.5,125,Released,1997.0
The Relic,Horror|Mystery|Thriller,en,1997-01-10,12.621769,60000000,33956608,110.0,5.8,130,Released,1997.0
The Saint,Thriller|Action|Romance|Science Fiction|Adventure,en,1997-04-03,20.913852,68000000,118063304,116.0,5.9,302,Released,1997.0
The Spanish Prisoner,Crime|Drama|Mystery|Thriller,en,1997-09-08,3.091077,10000000,13835130,110.0,7.1,73,Released,1997.0
Turbulence,Action|Thriller|Crime,en,1997-01-09,4.700024,55000000,11466088,100.0,5.2,62,Released,1997.0
Volcano,Science Fiction|Action|Drama|Thriller,en,1997-04-25,19.836124,90000000,0,104.0,5.2,376,Released,1997.0
A Bug's Life,Adventure|Animation|Comedy|Family,en,1998-11-25,87.350802,120000000,363258859,95.0,6.8,2303,Released,1998.0
A Night at the Roxbury,Comedy,en,1998-10-01,12.709227,17000000,30331165,81.0,5.9,198,Released,1998.0
Among Giants,Comedy|Romance,en,1998-06-24,0.541652,0,0,93.0,4.5,2,Released,1998.0
Armageddon,Action|Thriller|Science Fiction|Adventure,en,1998-07-01,58.485967,140000000,553799566,151.0,6.4,2482,Released,1998.0
Beloved,Drama|Thriller,en,1998-10-16,1.453765,0,0,172.0,5.9,26,Released,1998.0
Blade,Horror|Action,en,1998-08-21,43.815492,45000000,131183530,120.0,6.5,1905,Released,1998.0
Can't Hardly Wait,Comedy|Drama|Romance,en,1998-06-12,11.350382,10000000,25605015,100.0,6.1,122,Released,1998.0
Dark City,Mystery|Science Fiction,en,1998-02-27,39.324831,27000000,27200316,100.0,7.2,828,Released,1998.0
Deep Impact,Action|Drama|Romance,en,1998-05-08,34.070054,75000000,140464664,120.0,5.9,855,Released,1998.0
Dirty Work,Comedy,en,1998-06-12,9.066881,0,0,82.0,6.5,66,Released,1998.0
Déjà Vu,Romance|Drama,en,1998-04-22,0.605645,0,0,117.0,8.0,1,Released,1998.0
Elizabeth,Drama|History,en,1998-09-13,14.179538,30000000,82150642,124.0,7.1,334,Released,1998.0
Ever After: A Cinderella Story,Drama|Romance|Comedy,en,1998-07-31,21.988861,26000000,65705772,121.0,6.8,399,Released,1998.0
Happiness,Comedy|Drama,en,1998-10-16,10.757539,3000000,2807390,139.0,7.4,194,Released,1998.0
Holy Man,Drama|Comedy,en,1998-10-08,9.265672,60000000,0,114.0,4.9,111,Released,1998.0
I Still Know What You Did Last Summer,Horror|Mystery|Thriller,en,1998-11-13,20.793026,65000000,40002112,100.0,5.1,374,Released,1998.0
Lost in Space,Adventure|Family|Science Fiction,en,1998-04-03,17.455024,80000000,136159423,130.0,5.0,388,Released,1998.0
Next Stop Wonderland,Comedy|Drama|Romance,en,1998-08-21,1.334481,0,0,96.0,6.0,20,Released,1998.0
Out of Sight,Romance|Comedy|Crime,en,1998-06-26,16.000178,48000000,77745568,123.0,6.5,333,Released,1998.0
